gauge_id,mean_sp_baseline,mean_sp_future,delta_mean_sp,max_sp_baseline,max_sp_future,delta_max_sp,rcp
84009,0.9581837152777777,0.12157718055555555,-0.8366065347222221,78.17815,33.7725,-44.40565,rcp45
84012,0.5549793998015873,0.05047721759259259,-0.5045021822089947,78.27260000000001,21.485500000000002,-56.78710000000001,rcp45
84013,0.6896086706349207,0.05366655092592593,-0.6359421197089947,58.771699999999996,23.27595,-35.495749999999994,rcp45
84014,0.9147212053571427,0.13246630092592593,-0.7822549044312168,86.4059,35.680800000000005,-50.7251,rcp45
84016,0.7609593898809524,0.08125023611111111,-0.6797091537698412,78.62285,34.129,-44.49385,rcp45
84017,1.1205588442460317,0.12085256481481482,-0.9997062794312168,109.71285,37.9796,-71.73325,rcp45
84018,0.9917879910714285,0.102339125,-0.8894488660714285,68.0464,28.76415,-39.282250000000005,rcp45
84019,0.616511949404762,0.07334606944444445,-0.5431658799603175,68.5515,30.9531,-37.598400000000005,rcp45
84020,2.1115743452380955,0.14119691203703705,-1.9703774332010584,120.70365,32.8915,-87.81215,rcp45
84022,1.1888838938492063,0.1680764861111111,-1.0208074077380953,85.76605,35.6014,-50.16465000000001,rcp45
84026,2.8509615228174603,0.43687536111111114,-2.414086161706349,145.50764999999998,76.3541,-69.15354999999998,rcp45
84030,0.5474281101190476,0.041592000000000004,-0.5058361101190476,72.51509999999999,23.03985,-49.47524999999999,rcp45
85001,3.704078903769841,0.2114891990740741,-3.4925897046957672,102.26615,31.5261,-70.74005,rcp45
85002,1.1750367162698412,0.14209770833333332,-1.032939007936508,94.19120000000001,34.6924,-59.49880000000001,rcp45
85003,9.394386934523808,1.988401069444444,-7.405985865079364,301.45264999999995,192.2612,-109.19144999999995,rcp45
85004,3.394225515873016,0.623967013888889,-2.770258501984127,160.23325,106.13980000000001,-54.09344999999999,rcp45
88001,0.9807145337301588,0.061306125,-0.9194084087301588,114.3253,39.44205,-74.88325,rcp45
89002,9.569311934523808,2.1386231944444445,-7.430688740079364,290.9499,182.5454,-108.40450000000001,rcp45
89003,15.54073422123016,3.3975101481481476,-12.143224073082013,363.87265,182.7575,-181.11515000000003,rcp45
89005,15.608833293650793,3.263190412037037,-12.345642881613756,351.80805,202.35469999999998,-149.45335,rcp45
89007,3.1034353422619048,0.7262885787037037,-2.3771467635582013,150.23180000000002,100.18195,-50.04985000000002,rcp45
90003,13.398168432539682,2.6477086666666665,-10.750459765873016,332.92145,159.84355,-173.0779,rcp45
92001,0.8927068601190475,0.0500447824074074,-0.8426620777116401,73.99164999999999,30.38375,-43.607899999999994,rcp45
93001,4.888412395833334,0.8926776481481482,-3.9957347476851854,184.20690000000002,86.31280000000001,-97.89410000000001,rcp45
94001,4.294539087301587,0.7372388472222222,-3.5573002400793645,169.05105,68.4486,-100.60245,rcp45
95001,3.1841383234126983,0.45427016666666664,-2.729868156746032,169.24985,81.16319999999999,-88.08665000000002,rcp45
96001,3.054455982142857,0.3084145092592593,-2.746041472883598,134.91,50.366150000000005,-84.54384999999999,rcp45
96002,3.1143677628968254,0.309582337962963,-2.804785424933862,122.80935,49.0981,-73.71124999999999,rcp45
96004,9.362074017857143,1.5832592083333332,-7.77881480952381,296.72294999999997,130.62585,-166.09709999999995,rcp45
97002,1.679386334325397,0.0951175462962963,-1.5842687880291006,118.14565,40.7034,-77.44225,rcp45
101002,0.09051886408730159,0.007402282407407408,-0.08311658167989418,42.580349999999996,6.91475,-35.6656,rcp45
101005,0.05890549107142857,0.0019072129629629628,-0.056998278108465604,26.697699999999998,3.0064,-23.6913,rcp45
102001,0.039706830357142855,0.0006369212962962962,-0.03906990906084656,24.2782,1.44445,-22.83375,rcp45
106001,0.8121012202380953,0.1324451712962963,-0.679656048941799,60.5997,56.04865,-4.5510499999999965,rcp45
107001,1.0818103819444445,0.0511513287037037,-1.0306590532407407,93.7462,24.60635,-69.13985,rcp45
1001,1.245066388888889,0.10939999074074074,-1.1356663981481483,102.89065,44.03605,-58.85459999999999,rcp60
2001,2.9214454265873018,0.3562984351851852,-2.5651469914021163,128.6105,61.60675,-67.00375,rcp60
2002,4.092241706349206,0.5054621527777778,-3.5867795535714286,176.31529999999998,64.5797,-111.73559999999998,rcp60
3003,4.119259201388889,0.6669446666666666,-3.4523145347222224,173.62935,68.7046,-104.92474999999999,rcp60
4001,4.113160262896825,0.6517723657407408,-3.461387897156084,177.78235,85.2699,-92.51245,rcp60
4003,7.846346498015873,1.3905034212962963,-6.455843076719576,215.8662,113.4776,-102.3886,rcp60
4005,6.557018888888889,1.290238453703704,-5.266780435185185,225.1814,111.37765,-113.80375,rcp60
4006,4.345498070436507,0.9284751203703703,-3.417022950066137,177.22390000000001,101.79145,-75.43245000000002,rcp60
5003,6.192450793650794,1.0941008657407407,-5.0983499279100535,225.4054,120.08160000000001,-105.32379999999998,rcp60
6007,4.433514499007936,0.7004830740740741,-3.733031424933862,145.95085,109.24855,-36.70230000000001,rcp60
6008,4.520201413690477,0.8813945185185185,-3.638806895171958,133.8329,91.88884999999999,-41.944050000000004,rcp60
7001,14.594086542658731,3.5083990509259264,-11.085687491732806,271.0403,163.17610000000002,-107.86419999999998,rcp60
7002,8.571006984126983,2.04689987962963,-6.524107104497354,197.0117,136.19029999999998,-60.82140000000001,rcp60
7003,3.2063960119047614,0.6209739027777779,-2.5854221091269833,110.3945,75.51315,-34.88135,rcp60
7005,3.3919742708333334,0.7018259351851852,-2.690148335648148,113.9599,64.8455,-49.1144,rcp60
7006,5.392469672619048,1.1471479398148148,-4.245321732804233,185.89870000000002,88.9941,-96.90460000000002,rcp60
8004,7.023122142857143,1.6754546666666665,-5.347667476190477,194.15845,118.4856,-75.67284999999998,rcp60
8005,12.803416706349207,1.9997813101851851,-10.803635396164022,222.02859999999998,119.13065,-102.89794999999998,rcp60
8006,5.728788328373016,1.1934770231481484,-4.535311305224868,157.1858,98.26335,-58.92245,rcp60
8009,7.234082624007938,1.8528279907407408,-5.381254633267197,164.76,126.31105,-38.448949999999996,rcp60
8011,5.6120746875,1.3044826944444445,-4.3075919930555555,182.48160000000001,91.67005,-90.81155000000001,rcp60
8013,16.354028665674605,3.609088009259259,-12.744940656415345,278.5603,150.01389999999998,-128.5464,rcp60
9002,2.925421468253968,0.46455929629629633,-2.4608621719576718,132.4341,71.15469999999999,-61.27940000000001,rcp60
9003,2.438771527777778,0.32866827314814817,-2.11010325462963,111.9797,77.0339,-34.94579999999999,rcp60
9004,3.4211490376984126,0.5256106388888889,-2.895538398809524,165.5784,82.2264,-83.35199999999999,rcp60
9005,6.546216438492063,1.3598514305555556,-5.186365007936508,195.31375,107.15435,-88.1594,rcp60
10002,0.8519934523809525,0.05415316666666667,-0.7978402857142858,86.21180000000001,37.50215,-48.70965000000001,rcp60
10003,0.9287711755952381,0.055057861111111106,-0.873713314484127,76.15639999999999,31.0502,-45.10619999999999,rcp60
11001,2.4822228769841272,0.28998325462962965,-2.1922396223544975,122.48835,55.31815,-67.1702,rcp60
11003,5.392222371031746,1.039309648148148,-4.352912722883598,155.0499,91.1194,-63.93050000000001,rcp60
11004,2.25916154265873,0.3075706759259259,-1.9515908667328041,125.66365,56.79345,-68.87020000000001,rcp60
12001,8.771816532738095,1.626706296296296,-7.145110236441798,169.15865000000002,110.33335,-58.82530000000003,rcp60
12002,6.0661777926587295,0.9823248287037039,-5.083852963955025,150.8388,81.65735000000001,-69.18144999999998,rcp60
12005,14.531594171626985,2.615986375,-11.915607796626984,234.4389,136.0871,-98.3518,rcp60
12006,6.870678249007936,1.5674825416666665,-5.30319570734127,147.6951,104.4454,-43.24969999999999,rcp60
12007,13.893073943452382,3.0777516342592595,-10.815322309193123,248.1071,135.18984999999998,-112.91725000000002,rcp60
12008,2.8518946329365082,0.26367853703703703,-2.588216095899471,140.63655,60.55629999999999,-80.08025,rcp60
12009,5.228833497023809,0.5027741620370371,-4.726059334986772,169.0629,68.97815,-100.08475000000001,rcp60
13001,0.6357650198412699,0.055041884259259266,-0.5807231355820106,51.48295,24.294150000000002,-27.1888,rcp60
13004,4.637768080357143,0.5930770601851852,-4.044691020171958,134.59195,55.5475,-79.04445,rcp60
13005,0.3087645188492063,0.008302430555555556,-0.30046208829365073,36.7334,8.6859,-28.047500000000003,rcp60
13007,5.102484216269842,0.5994482638888889,-4.5030359523809524,142.5211,57.290400000000005,-85.23069999999998,rcp60
13008,4.380909176587302,0.30596987037037043,-4.0749393062169315,105.21459999999999,45.28815,-59.92644999999999,rcp60
14001,0.3311113988095238,0.02752353240740741,-0.3035878664021164,50.06325,21.689549999999997,-28.3737,rcp60
14002,0.5172415029761903,0.02203638425925926,-0.49520511871693107,34.823,17.1224,-17.7006,rcp60
14005,0.42551389384920635,0.0235996712962963,-0.40191422255291004,47.3507,15.24455,-32.10615,rcp60
15006,5.231024866071429,0.8089347731481481,-4.422090092923281,144.1144,59.2906,-84.82379999999999,rcp60
15007,5.751187425595237,1.0101032546296296,-4.741084170965608,172.99895,83.37965,-89.61930000000001,rcp60
15010,3.855757182539683,0.4576507361111111,-3.3981064464285717,122.22040000000001,50.980500000000006,-71.2399,rcp60
15011,119.09947205853175,20.623645194444443,-98.47582686408731,555.7760499999999,249.05759999999998,-306.71844999999996,rcp60
15012,8.491073313492063,1.1642136064814816,-7.3268597070105805,173.6286,68.8969,-104.7317,rcp60
15013,5.6194901785714295,1.136451912037037,-4.483038266534392,143.53795,91.67165,-51.866299999999995,rcp60
15014,4.853844885912698,0.8685670601851851,-3.985277825727513,132.60205,64.1927,-68.40934999999999,rcp60
15016,5.181150322420635,1.0227183379629632,-4.158431984457671,192.8749,86.56585000000001,-106.30904999999998,rcp60
15021,1.025865744047619,0.04826242129629631,-0.9776033227513228,64.19975,26.296,-37.903749999999995,rcp60
15023,5.902921830357142,1.1463563935185186,-4.756565436838624,155.8558,101.45335,-54.40244999999999,rcp60
15024,8.084372896825396,1.4681397824074076,-6.616233114417989,237.26999999999998,101.46385000000001,-135.80614999999997,rcp60
15025,4.199024389880952,0.6692964027777778,-3.529727987103174,129.1917,57.39675,-71.79495,rcp60
15030,0.8114213095238094,0.06176734722222221,-0.7496539623015872,52.7859,33.8388,-18.9471,rcp60
15039,13.137238630952382,2.8861030324074077,-10.251135598544973,237.64659999999998,114.89935,-122.74724999999998,rcp60
16001,3.0319264384920634,0.5595094583333333,-2.47241698015873,103.12610000000001,58.3574,-44.76870000000001,rcp60
