gauge_id,cluster_kmeans,cluster_ward,extremity,delta_gap,delta_sm_drought_end,delta_freq,delta_recovery_rate
27006,0,1,2.85440345584639,-3.5,-25.376350000000002,-0.17701149425287355,0.4973590870670841
73014,0,1,2.853785509193556,-0.5,-10.808724999999995,-0.5057471264367814,0.8157665981240978
23006,0,1,2.8120565952666756,0.5,-0.8695999999999984,-0.599425287356322,0.32075627948547847
58006,0,1,2.78336739176106,0.5,-5.130875000000003,-0.6114942528735632,0.23723833333333255
23008,0,1,2.758842561867464,6.25,-17.01627499999998,-0.13678160919540228,-0.08432413524404891
27051,0,1,2.6479949318428746,4.75,-21.196600000000018,-0.241954022988506,0.4163336996881637
27007,0,1,2.6089381877338296,2.0,-22.110074999999995,-0.2954022988505749,0.49361265155372447
71001,0,1,2.5937037906921354,0.75,-12.38817499999999,-0.2954022988505749,0.9835556367130425
54012,0,1,2.5331418751971606,9.25,-3.4457749999999976,0.0798850574712644,0.15853526220244962
22009,0,1,2.5017989358536594,8.0,-3.3845249999999965,-0.08448275862068955,-0.0862549576521372
4005,0,1,2.5009156586432453,5.0,-0.4906250000000014,-0.30402298850574705,-0.14317822288822296
84009,0,1,2.500266296479763,5.75,-16.74860000000001,-0.3097701149425287,0.5399782115493417
21009,0,1,2.452260046041448,6.75,-15.858550000000037,0.05402298850574716,0.03825262994192835
65006,0,1,2.4514491302640216,-2.0,-1.9525499999999987,-0.572988505747126,0.23076865183792772
71006,0,1,2.4440619357314417,1.25,-18.238524999999996,-0.43735632183908035,0.42011072786690473
56007,0,1,2.330807745247518,-2.5,-3.3049999999999926,-0.5580459770114943,0.5037445744206774
12009,0,1,2.3081549732432465,3.25,-10.269750000000016,-0.4120689655172416,0.7387980384851796
15006,0,1,2.267558464551591,9.0,-11.034824999999998,-0.08103448275862057,0.25786800211341876
68004,0,1,2.2323192975040804,8.25,-11.134449999999958,0.060919540229885105,0.1633476733005832
81006,0,1,2.129731913175471,1.0,-2.2430500000000038,-0.45517241379310325,-0.023983687200956227
79004,0,1,2.047027075221889,2.75,0.03820000000001755,-0.2844827586206895,-0.1520109375000005
60002,0,1,2.0295276273273815,0.25,-3.3335499999999954,-0.5264367816091955,0.2712825528784082
83013,0,1,2.013584746682919,0.75,-18.162800000000004,-0.3810344827586205,0.36599756603499345
72009,0,1,1.9391807044526719,-1.5,-1.9653750000000088,-0.5074712643678159,0.480377394745777
76008,0,1,1.930163934582371,-0.5,-1.4704000000000121,-0.49942528735632186,0.47641402597402616
31023,0,1,1.890791950429509,7.25,-12.282725,-0.07068965517241377,0.13305106262883903
81007,0,1,1.87138827976044,-1.75,-1.5887499999999974,-0.4856321839080455,0.5351441287878789
28052,0,1,1.7982020395871674,0.75,-21.215775000000008,-0.053448275862068906,0.18572407220153542
21018,0,1,1.7665898945225598,6.75,-7.070375000000013,-0.014942528735632177,0.010459884155710197
21022,0,1,1.7516927372689441,7.25,-7.043075000000016,-0.1827586206896552,0.13474090301767827
37031,0,1,1.6816298405894388,3.25,-19.089349999999996,-0.09195402298850575,0.22539233348997945
84013,0,1,1.6545990019594043,7.5,-7.481999999999971,0.03275862068965529,0.26179590419137244
85002,0,1,1.6113125107545487,-1.0,0.005025000000003388,-0.4540229885057472,0.32491003886554637
67005,0,1,1.5843020991356707,7.5,-6.872425000000021,-0.05057471264367808,0.23365221302699668
27034,0,1,1.5459230803364585,4.5,-8.145150000000001,-0.3643678160919539,0.26690806565656544
88001,0,1,1.4232665323973883,4.0,-1.9527999999999963,-0.2678160919540229,0.049299666666667186
84005,0,1,1.4012064189728828,6.75,-7.085900000000009,0.01551724137931032,0.2368857515825753
63001,0,1,1.3944744947130694,0.25,-3.5321249999999935,-0.4201149425287356,0.5321455494505505
56012,0,1,1.38207207655651,3.0,-15.967299999999994,-0.16321839080459766,0.5632878379224024
15025,0,1,1.3790471820054746,4.0,-12.686474999999987,-0.2982758620689656,0.3316983876811592
23004,0,1,1.3544232077195897,1.5,-2.235350000000004,-0.367816091954023,0.09334518488090815
73009,0,1,1.3152709860288032,-0.75,-6.857874999999996,-0.4235632183908047,0.5294957692307696
18001,0,1,1.311782635291671,4.5,-11.317299999999989,-0.2793103448275862,0.28119028571428295
27071,0,1,1.2820737254127013,5.75,-9.287324999999981,0.053448275862068906,0.1994940677253827
9004,0,1,1.2378150914074815,3.5,-0.8629750000000058,-0.31264367816091954,0.2983331222280139
21006,0,1,1.192854262781448,5.5,-11.323149999999998,0.0011494252873563982,0.2656237407005655
13007,0,1,1.1862640735042398,1.5,-6.381599999999992,-0.39885057471264385,0.3774487050960733
17003,0,1,1.1605067835008107,5.5,-2.2016499999999866,-0.09137931034482771,0.17867246644658819
96002,0,1,1.1478418903976728,4.25,-4.559100000000001,-0.22816091954022988,0.09289612228841171
106001,0,1,1.1137333250558976,2.0,-5.64115000000001,-0.3097701149425287,0.05634315178385696
19001,0,1,1.0871515280950885,4.25,-4.205949999999973,-0.08735632183908026,0.022659857130190808
84020,0,1,1.0651892302893193,0.0,-3.097749999999998,-0.3896551724137931,0.28289943014651264
84014,0,1,1.0295198619674126,-0.5,-4.295649999999995,-0.2655172413793103,-0.04996646978021979
21012,0,1,1.0045222506839173,0.5,-5.741350000000011,-0.38275862068965516,0.27382133310492685
21024,0,1,0.9957986480979576,2.75,-13.966925000000003,-0.20862068965517233,0.2728166124746969
28048,0,1,0.9516307543581667,2.5,-14.972500000000025,-0.14425287356321836,0.4102448085907322
79006,0,1,0.9274026307852088,2.0,-4.894900000000007,-0.3339080459770114,0.2645237394957973
83009,0,1,0.919574204578003,1.0,-6.690074999999993,-0.35919540229885083,0.3920734179197991
84008,0,1,0.8076077917718519,0.0,-7.218849999999996,-0.3436781609195403,0.4513556587361953
13004,0,1,0.7153342916240697,0.5,-9.352025000000026,-0.31149425287356336,0.38791037856819144
